text,sentiment
"I am feeling so happy today, today is weekend and we are going for movie.",1
The sunset today was absolutely breathtaking,1
The sunset today was absolutely breathtaking,1
The sunset today was absolutely breathtaking,1
The sunset today was absolutely breathtaking,1
The sunset today was absolutely breathtaking,1
The sunset today was absolutely breathtaking,1
"The event was incredibly fun, I had an awesome time!",1
chutiya hai kya,1
don't worry but worry makes success,1
I am not happy,0
I feel indifferent towards this brand; neither love nor hate.,0
you are not good,0
"you are good, but disappointed",0
this product is very useful but product life is very low,0
this product is very useful but product life is low,0
this product is very useful but product is too costly. unable to purchase ,0
"this product is cost effective, but its ordinary",0
